# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (1.345110e-07 5.571690e-08 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1           	-2.414527e-03	9.739117e+00	-1.058626e+00	-5.317277e-01	-5.268986e-01
0.2           	-6.948792e-03	8.521699e+00	-9.879855e-01	-5.009415e-01	-4.870440e-01
0.3           	-1.276456e-02	7.854900e+00	-8.259963e-01	-4.257627e-01	-4.002336e-01
0.4           	-1.964331e-02	7.563085e+00	-5.728555e-01	-3.060711e-01	-2.667845e-01
0.5           	-2.719496e-02	7.487523e+00	-2.240545e-01	-1.392222e-01	-8.483229e-02
0.6           	-3.495688e-02	7.561137e+00	1.638564e-01	4.697130e-02	1.168851e-01
0.7           	-4.252397e-02	7.692760e+00	5.758993e-01	2.454257e-01	3.304736e-01
0.8           	-4.939559e-02	7.852688e+00	1.000282e+00	4.507456e-01	5.495368e-01
0.9           	-5.517116e-02	7.960794e+00	1.446865e+00	6.682614e-01	7.786037e-01
1             	-5.966439e-02	8.086863e+00	1.899844e+00	8.902576e-01	1.009586e+00
1.1           	-6.279343e-02	8.248997e+00	2.332392e+00	1.103402e+00	1.228989e+00
1.2           	-6.461899e-02	8.333950e+00	2.769672e+00	1.320217e+00	1.449455e+00
1.3           	-6.529817e-02	8.397046e+00	3.165437e+00	1.517420e+00	1.648017e+00
1.4           	-6.501923e-02	8.435616e+00	3.505043e+00	1.687502e+00	1.817541e+00
1.5           	-6.398548e-02	8.453312e+00	3.806465e+00	1.839247e+00	1.967218e+00
1.6           	-6.237829e-02	8.495966e+00	4.082053e+00	1.978648e+00	2.103405e+00
1.7           	-6.034439e-02	8.534036e+00	4.299165e+00	2.089238e+00	2.209927e+00
1.8           	-5.795100e-02	8.579215e+00	4.413211e+00	2.148655e+00	2.264557e+00
1.9           	-5.526418e-02	8.624652e+00	4.478489e+00	2.183980e+00	2.294509e+00
2             	-5.234892e-02	8.649568e+00	4.505777e+00	2.200539e+00	2.305237e+00
2.1           	-4.925499e-02	8.699480e+00	4.488793e+00	2.195141e+00	2.293651e+00
2.2           	-4.601814e-02	8.737613e+00	4.453584e+00	2.180774e+00	2.272810e+00
2.3           	-4.267847e-02	8.792892e+00	4.371035e+00	2.142839e+00	2.228196e+00
2.4           	-3.927742e-02	8.787863e+00	4.311124e+00	2.116285e+00	2.194840e+00
2.5           	-3.585700e-02	8.831948e+00	4.196182e+00	2.062234e+00	2.133948e+00
2.6           	-3.246908e-02	8.874917e+00	4.070507e+00	2.002784e+00	2.067723e+00
2.7           	-2.916523e-02	8.915500e+00	3.923512e+00	1.932591e+00	1.990921e+00
2.8           	-2.599402e-02	8.955162e+00	3.758974e+00	1.853493e+00	1.905481e+00
2.9           	-2.299720e-02	8.997908e+00	3.584058e+00	1.769032e+00	1.815026e+00
3             	-2.021207e-02	9.041950e+00	3.367444e+00	1.663510e+00	1.703934e+00
3.1           	-1.766641e-02	9.084268e+00	3.148407e+00	1.556537e+00	1.591870e+00
3.2           	-1.538834e-02	9.118762e+00	2.925651e+00	1.447437e+00	1.478214e+00
3.3           	-1.339624e-02	9.155497e+00	2.686669e+00	1.329938e+00	1.356731e+00
3.4           	-1.169949e-02	9.175030e+00	2.471461e+00	1.224031e+00	1.247430e+00
3.5           	-1.029903e-02	9.210220e+00	2.226580e+00	1.102991e+00	1.123589e+00
3.6           	-9.185867e-03	9.242450e+00	1.990912e+00	9.862699e-01	1.004642e+00
3.7           	-8.350429e-03	9.286264e+00	1.740848e+00	8.620738e-01	8.787746e-01
3.8           	-7.797890e-03	9.323884e+00	1.514471e+00	7.494376e-01	7.650333e-01
3.9           	-7.511333e-03	9.369036e+00	1.302190e+00	6.435835e-01	6.586062e-01
4             	-7.480054e-03	9.420890e+00	1.086372e+00	5.357059e-01	5.506660e-01
4.1           	-7.687342e-03	9.451306e+00	8.939516e-01	4.392884e-01	4.546631e-01
4.2           	-8.111875e-03	9.508790e+00	6.936777e-01	3.387270e-01	3.549507e-01
4.3           	-8.741956e-03	9.568677e+00	5.168846e-01	2.497003e-01	2.671843e-01
4.4           	-9.566295e-03	9.634246e+00	3.445331e-01	1.627003e-01	1.818329e-01
4.5           	-1.056643e-02	9.698447e+00	1.848104e-01	8.183878e-02	1.029716e-01
4.6           	-1.173092e-02	9.759682e+00	3.995557e-02	8.246870e-03	3.170870e-02
4.7           	-1.304418e-02	9.834460e+00	-9.429229e-02	-6.019033e-02	-3.410197e-02
4.8           	-1.448886e-02	9.930025e+00	-2.409024e-01	-1.349401e-01	-1.059623e-01
4.9           	-1.605388e-02	9.935156e+00	-3.078165e-01	-1.699621e-01	-1.378543e-01
5             	-1.773646e-02	9.992257e+00	-3.868947e-01	-2.111838e-01	-1.757109e-01
5.1           	-1.951461e-02	1.005126e+01	-4.647072e-01	-2.518682e-01	-2.128390e-01
5.2           	-2.136117e-02	1.010329e+01	-4.912147e-01	-2.669685e-01	-2.242462e-01
5.3           	-2.326326e-02	1.014206e+01	-5.098565e-01	-2.781915e-01	-2.316650e-01
5.4           	-2.519517e-02	1.018620e+01	-5.218375e-01	-2.861139e-01	-2.357236e-01
5.5           	-2.713441e-02	1.019969e+01	-4.902176e-01	-2.722432e-01	-2.179744e-01
5.6           	-2.906244e-02	1.022152e+01	-4.393315e-01	-2.487282e-01	-1.906033e-01
5.7           	-3.096349e-02	1.028033e+01	-4.242863e-01	-2.431067e-01	-1.811797e-01
5.8           	-3.282101e-02	1.025500e+01	-2.764569e-01	-1.710495e-01	-1.054074e-01
5.9           	-3.462343e-02	1.024561e+01	-1.688107e-01	-1.190288e-01	-4.978191e-02
6             	-3.634995e-02	1.022910e+01	-4.098146e-02	-5.684068e-02	1.585922e-02
6.1           	-3.798033e-02	1.019853e+01	1.110378e-01	1.753856e-02	9.349923e-02
6.2           	-3.950352e-02	1.013815e+01	3.134568e-01	1.172249e-01	1.962319e-01
6.3           	-4.091087e-02	1.007194e+01	5.799226e-01	2.490504e-01	3.308722e-01
6.4           	-4.219709e-02	9.988157e+00	7.633107e-01	3.394582e-01	4.238524e-01
6.5           	-4.331113e-02	9.909912e+00	1.000030e+00	4.567040e-01	5.433262e-01
6.6           	-4.424600e-02	9.817825e+00	1.253791e+00	5.826493e-01	6.711413e-01
6.7           	-4.500111e-02	9.714166e+00	1.532330e+00	7.211639e-01	8.111661e-01
6.8           	-4.555905e-02	9.611146e+00	1.813630e+00	8.612558e-01	9.523739e-01
6.9           	-4.590175e-02	9.501744e+00	2.123319e+00	1.015758e+00	1.107561e+00
7             	-4.602258e-02	9.396586e+00	2.426172e+00	1.167063e+00	1.259109e+00
7.1           	-4.590759e-02	9.326617e+00	2.745455e+00	1.326820e+00	1.418635e+00
7.2           	-4.556134e-02	9.205942e+00	2.976822e+00	1.442849e+00	1.533972e+00
7.3           	-4.493087e-02	9.121421e+00	3.246369e+00	1.578254e+00	1.668115e+00
7.4           	-4.403276e-02	9.064664e+00	3.494276e+00	1.703105e+00	1.791171e+00
7.5           	-4.288711e-02	9.017381e+00	3.707087e+00	1.810656e+00	1.896431e+00
7.6           	-4.151042e-02	8.984885e+00	3.905213e+00	1.911096e+00	1.994117e+00
7.7           	-3.993353e-02	9.032361e+00	4.104674e+00	2.012403e+00	2.092270e+00
7.8           	-3.819145e-02	8.977097e+00	4.128107e+00	2.025862e+00	2.102245e+00
7.9           	-3.628123e-02	9.013646e+00	4.218106e+00	2.072772e+00	2.145334e+00
8             	-3.423896e-02	9.054235e+00	4.179421e+00	2.055472e+00	2.123950e+00
8.1           	-3.211500e-02	9.126861e+00	4.090718e+00	2.013244e+00	2.077474e+00
8.2           	-2.994902e-02	9.197563e+00	3.983556e+00	1.961829e+00	2.021727e+00
8.3           	-2.777908e-02	9.258790e+00	3.791350e+00	1.867896e+00	1.923454e+00
8.4           	-2.562098e-02	9.327468e+00	3.593623e+00	1.771190e+00	1.822432e+00
8.5           	-2.349107e-02	9.391222e+00	3.335658e+00	1.644338e+00	1.691320e+00
8.6           	-2.140611e-02	9.430086e+00	3.083988e+00	1.520588e+00	1.563400e+00
8.7           	-1.937187e-02	9.456642e+00	2.769097e+00	1.365177e+00	1.403920e+00
8.8           	-1.739613e-02	9.495933e+00	2.429028e+00	1.197118e+00	1.231910e+00
8.9           	-1.550533e-02	9.540587e+00	2.058530e+00	1.013760e+00	1.044770e+00
9             	-1.374523e-02	9.610074e+00	1.739013e+00	8.557612e-01	8.832516e-01
9.1           	-1.216947e-02	9.657915e+00	1.427959e+00	7.018099e-01	7.261488e-01
9.2           	-1.081859e-02	9.711121e+00	1.121375e+00	5.498691e-01	5.715063e-01
9.3           	-9.744849e-03	9.792467e+00	8.030706e-01	3.917905e-01	4.112802e-01
9.4           	-8.973288e-03	9.862148e+00	5.192836e-01	2.506685e-01	2.686151e-01
9.5           	-8.523585e-03	9.940474e+00	1.613338e-01	7.214333e-02	8.919050e-02
9.6           	-8.420806e-03	1.007371e+01	-7.232943e-02	-4.458552e-02	-2.774391e-02
9.7           	-8.707054e-03	1.017909e+01	-3.038458e-01	-1.606299e-01	-1.432158e-01
9.8           	-9.392960e-03	1.024666e+01	-4.813559e-01	-2.500709e-01	-2.312850e-01
9.9           	-1.044142e-02	1.037595e+01	-6.853444e-01	-3.531136e-01	-3.322308e-01
10            	-1.183363e-02	1.042154e+01	-8.363713e-01	-4.300193e-01	-4.063520e-01
10.1          	-1.356948e-02	1.051493e+01	-9.761848e-01	-5.016619e-01	-4.745229e-01
10.2          	-1.559814e-02	1.057715e+01	-1.104484e+00	-5.678401e-01	-5.366438e-01
10.3          	-1.785994e-02	1.067076e+01	-1.176963e+00	-6.063416e-01	-5.706217e-01
10.4          	-2.033072e-02	1.075175e+01	-1.257378e+00	-6.490198e-01	-6.083583e-01
10.5          	-2.296144e-02	1.083683e+01	-1.307373e+00	-6.766480e-01	-6.307251e-01
10.6          	-2.569555e-02	1.100156e+01	-1.263705e+00	-6.575482e-01	-6.061572e-01
10.7          	-2.846796e-02	1.097073e+01	-1.349534e+00	-7.032350e-01	-6.462991e-01
10.8          	-3.124636e-02	1.103385e+01	-1.381988e+00	-7.222403e-01	-6.597476e-01
10.9          	-3.397845e-02	1.106441e+01	-1.318875e+00	-6.934158e-01	-6.254589e-01
11            	-3.658664e-02	1.110935e+01	-1.274951e+00	-6.740620e-01	-6.008887e-01
11.1          	-3.899976e-02	1.112252e+01	-1.292623e+00	-6.853111e-01	-6.073115e-01
11.2          	-4.115794e-02	1.115135e+01	-1.148418e+00	-6.153671e-01	-5.330513e-01
11.3          	-4.301071e-02	1.108010e+01	-1.052806e+00	-5.694136e-01	-4.833922e-01
11.4          	-4.452087e-02	1.113521e+01	-1.025585e+00	-5.573135e-01	-4.682717e-01
11.5          	-4.570978e-02	1.114220e+01	-9.513922e-01	-5.214059e-01	-4.299863e-01
11.6          	-4.660706e-02	1.100794e+01	-6.873335e-01	-3.902738e-01	-2.970597e-01
11.7          	-4.725858e-02	1.089988e+01	-5.054205e-01	-2.999688e-01	-2.054516e-01
