# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (1.384220e-07 5.733690e-08 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.05          	-8.922236e-04	1.631283e+01	-1.282245e+00	-6.420146e-01	-6.402301e-01
0.1           	-2.334752e-03	1.230710e+01	-1.272097e+00	-6.383831e-01	-6.337136e-01
0.15          	-4.210828e-03	1.034136e+01	-1.249316e+00	-6.288687e-01	-6.204470e-01
0.2           	-6.455738e-03	9.264218e+00	-1.193805e+00	-6.033582e-01	-5.904467e-01
0.25          	-9.003152e-03	8.635245e+00	-1.104093e+00	-5.610497e-01	-5.430434e-01
0.3           	-1.180135e-02	8.258104e+00	-9.783446e-01	-5.009737e-01	-4.773710e-01
0.35          	-1.480440e-02	8.035586e+00	-8.295048e-01	-4.295568e-01	-3.999480e-01
0.4           	-1.796092e-02	7.914677e+00	-6.605939e-01	-3.482579e-01	-3.123360e-01
0.45          	-2.122457e-02	7.862261e+00	-4.763919e-01	-2.594205e-01	-2.169714e-01
0.5           	-2.454488e-02	7.862716e+00	-2.769849e-01	-1.630373e-01	-1.139476e-01
0.55          	-2.786948e-02	7.900015e+00	-5.362952e-02	-5.468424e-02	1.054714e-03
0.6           	-3.114628e-02	7.964231e+00	1.881777e-01	6.294258e-02	1.252351e-01
0.65          	-3.432867e-02	8.047238e+00	4.467886e-01	1.890656e-01	2.577230e-01
0.7           	-3.737527e-02	8.138980e+00	7.227624e-01	3.240059e-01	3.987565e-01
0.75          	-4.025163e-02	8.229337e+00	1.005069e+00	4.622831e-01	5.427863e-01
0.8           	-4.293013e-02	8.318578e+00	1.285293e+00	5.997166e-01	6.855768e-01
0.85          	-4.539127e-02	8.400511e+00	1.563865e+00	7.365410e-01	8.273236e-01
0.9           	-4.762274e-02	8.472855e+00	1.836808e+00	8.707813e-01	9.660268e-01
0.95          	-4.961784e-02	8.554403e+00	2.096866e+00	9.988153e-01	1.098051e+00
1             	-5.137205e-02	8.626246e+00	2.361814e+00	1.129535e+00	1.232279e+00
1.05          	-5.288544e-02	8.693830e+00	2.628244e+00	1.261237e+00	1.367008e+00
1.1           	-5.416161e-02	8.754337e+00	2.881371e+00	1.386524e+00	1.494847e+00
1.15          	-5.520489e-02	8.808733e+00	3.114149e+00	1.501869e+00	1.612279e+00
1.2           	-5.602238e-02	8.865821e+00	3.325194e+00	1.606574e+00	1.718619e+00
1.25          	-5.662300e-02	8.919656e+00	3.513629e+00	1.700192e+00	1.813438e+00
1.3           	-5.701707e-02	8.968789e+00	3.689398e+00	1.787682e+00	1.901716e+00
1.35          	-5.721795e-02	9.010196e+00	3.859631e+00	1.872598e+00	1.987034e+00
1.4           	-5.724048e-02	9.048235e+00	4.020388e+00	1.952953e+00	2.067434e+00
1.45          	-5.710080e-02	9.089494e+00	4.171297e+00	2.028548e+00	2.142749e+00
1.5           	-5.681338e-02	9.131362e+00	4.313991e+00	2.100182e+00	2.213809e+00
1.55          	-5.639379e-02	9.161703e+00	4.446409e+00	2.166811e+00	2.279598e+00
1.6           	-5.585573e-02	9.187528e+00	4.566455e+00	2.227372e+00	2.339083e+00
1.65          	-5.520823e-02	9.197867e+00	4.669033e+00	2.279308e+00	2.389725e+00
1.7           	-5.446002e-02	9.213232e+00	4.760789e+00	2.325935e+00	2.434855e+00
1.75          	-5.361963e-02	9.237546e+00	4.840119e+00	2.366440e+00	2.473679e+00
1.8           	-5.269585e-02	9.250279e+00	4.897885e+00	2.396247e+00	2.501638e+00
1.85          	-5.169568e-02	9.268227e+00	4.948039e+00	2.422324e+00	2.525715e+00
1.9           	-5.062675e-02	9.283663e+00	4.985031e+00	2.441889e+00	2.543142e+00
1.95          	-4.949674e-02	9.297824e+00	5.010283e+00	2.455645e+00	2.554638e+00
2             	-4.831163e-02	9.311004e+00	5.024502e+00	2.463939e+00	2.560562e+00
2.05          	-4.707909e-02	9.325732e+00	5.033308e+00	2.469575e+00	2.563733e+00
2.1           	-4.580631e-02	9.335031e+00	5.019287e+00	2.463837e+00	2.555450e+00
2.15          	-4.450115e-02	9.349906e+00	5.003633e+00	2.457315e+00	2.546318e+00
2.2           	-4.317134e-02	9.359007e+00	4.983325e+00	2.448491e+00	2.534834e+00
2.25          	-4.182471e-02	9.369618e+00	4.955185e+00	2.435768e+00	2.519417e+00
2.3           	-4.046832e-02	9.380659e+00	4.918090e+00	2.418577e+00	2.499513e+00
2.35          	-3.910855e-02	9.391679e+00	4.875366e+00	2.398575e+00	2.476792e+00
2.4           	-3.775050e-02	9.404510e+00	4.828543e+00	2.376521e+00	2.452022e+00
2.45          	-3.640080e-02	9.415046e+00	4.771505e+00	2.349352e+00	2.422153e+00
2.5           	-3.506416e-02	9.426303e+00	4.712458e+00	2.321165e+00	2.391293e+00
2.55          	-3.374411e-02	9.443296e+00	4.632839e+00	2.282676e+00	2.350164e+00
2.6           	-3.244294e-02	9.457458e+00	4.557551e+00	2.246333e+00	2.311218e+00
2.65          	-3.116322e-02	9.466999e+00	4.480439e+00	2.209056e+00	2.271382e+00
