# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1.9           	-5.526422e-02	8.624635e+00	4.478493e+00	2.183982e+00	2.294510e+00
1.905         	-5.512339e-02	8.621353e+00	4.487226e+00	2.188490e+00	2.298736e+00
1.91          	-5.498200e-02	8.623769e+00	4.492774e+00	2.191405e+00	2.301369e+00
1.915         	-5.484004e-02	8.625936e+00	4.496906e+00	2.193613e+00	2.303293e+00
1.92          	-5.469753e-02	8.624880e+00	4.489893e+00	2.190249e+00	2.299644e+00
1.925         	-5.455448e-02	8.626099e+00	4.490617e+00	2.190754e+00	2.299863e+00
1.93          	-5.441089e-02	8.624330e+00	4.483443e+00	2.187311e+00	2.296133e+00
1.935         	-5.426678e-02	8.627361e+00	4.491001e+00	2.191234e+00	2.299767e+00
1.94          	-5.412215e-02	8.628586e+00	4.492765e+00	2.192261e+00	2.300505e+00
1.945         	-5.397702e-02	8.630193e+00	4.495298e+00	2.193672e+00	2.301626e+00
1.95          	-5.383138e-02	8.631804e+00	4.497264e+00	2.194800e+00	2.302463e+00
1.955         	-5.368526e-02	8.633475e+00	4.498649e+00	2.195639e+00	2.303010e+00
1.96          	-5.353865e-02	8.634417e+00	4.505452e+00	2.199187e+00	2.306265e+00
1.965         	-5.339157e-02	8.635840e+00	4.508641e+00	2.200929e+00	2.307712e+00
1.97          	-5.324403e-02	8.636663e+00	4.513933e+00	2.203722e+00	2.310210e+00
1.975         	-5.309604e-02	8.639643e+00	4.512573e+00	2.203191e+00	2.309383e+00
1.98          	-5.294760e-02	8.642014e+00	4.513951e+00	2.204028e+00	2.309923e+00
1.985         	-5.279870e-02	8.647118e+00	4.508029e+00	2.201216e+00	2.306813e+00
1.99          	-5.264934e-02	8.647310e+00	4.505781e+00	2.200241e+00	2.305540e+00
1.995         	-5.249952e-02	8.647955e+00	4.505429e+00	2.200215e+00	2.305214e+00
2             	-5.234924e-02	8.649576e+00	4.505791e+00	2.200546e+00	2.305245e+00
