# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (1.384220e-07 5.733690e-08 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0025        	-2.124534e-05	6.610625e+03	1.296083e+00	6.480205e-01	6.480630e-01
0.005         	-2.488473e-05	2.596092e+01	-1.248156e+00	-6.241031e-01	-6.240533e-01
0.0075        	-5.012582e-05	2.404282e+01	-1.289347e+00	-6.447235e-01	-6.446232e-01
0.01          	-8.055547e-05	2.335380e+01	-1.276752e+00	-6.384563e-01	-6.382952e-01
0.0125        	-1.145478e-04	2.271039e+01	-1.275175e+00	-6.377018e-01	-6.374727e-01
0.015         	-1.525803e-04	2.210830e+01	-1.276821e+00	-6.385633e-01	-6.382581e-01
0.0175        	-1.954766e-04	2.154219e+01	-1.279661e+00	-6.400258e-01	-6.396349e-01
0.02          	-2.385880e-04	2.100796e+01	-1.281955e+00	-6.412160e-01	-6.407389e-01
0.0225        	-2.856135e-04	2.050233e+01	-1.282735e+00	-6.416530e-01	-6.410818e-01
0.025         	-3.356758e-04	2.002269e+01	-1.283757e+00	-6.422141e-01	-6.415427e-01
0.0275        	-3.856695e-04	1.956695e+01	-1.283980e+00	-6.423759e-01	-6.416045e-01
0.03          	-4.362681e-04	1.913340e+01	-1.284105e+00	-6.424887e-01	-6.416162e-01
0.0325        	-4.904571e-04	1.872053e+01	-1.284014e+00	-6.424976e-01	-6.415166e-01
0.035         	-5.440475e-04	1.832703e+01	-1.283763e+00	-6.424257e-01	-6.413376e-01
0.0375        	-6.003562e-04	1.795170e+01	-1.283405e+00	-6.423028e-01	-6.411021e-01
0.04          	-6.552990e-04	1.759350e+01	-1.282974e+00	-6.421422e-01	-6.408316e-01
0.0425        	-7.138346e-04	1.725144e+01	-1.282508e+00	-6.419680e-01	-6.405403e-01
0.045         	-7.726686e-04	1.692445e+01	-1.283126e+00	-6.423356e-01	-6.407903e-01
0.0475        	-8.324923e-04	1.661188e+01	-1.282691e+00	-6.421781e-01	-6.405131e-01
0.05          	-8.922236e-04	1.631283e+01	-1.282245e+00	-6.420146e-01	-6.402301e-01
0.0525        	-9.553549e-04	1.602654e+01	-1.281693e+00	-6.418020e-01	-6.398913e-01
0.055         	-1.017330e-03	1.575230e+01	-1.280991e+00	-6.415128e-01	-6.394782e-01
0.0575        	-1.081598e-03	1.548950e+01	-1.280508e+00	-6.413356e-01	-6.391724e-01
0.06          	-1.145684e-03	1.523750e+01	-1.280032e+00	-6.411615e-01	-6.388701e-01
0.0625        	-1.213434e-03	1.499579e+01	-1.278037e+00	-6.402319e-01	-6.378050e-01
0.065         	-1.279194e-03	1.476375e+01	-1.278034e+00	-6.402960e-01	-6.377377e-01
0.0675        	-1.346104e-03	1.454100e+01	-1.277017e+00	-6.398545e-01	-6.371623e-01
0.07          	-1.416408e-03	1.432697e+01	-1.277643e+00	-6.402381e-01	-6.374053e-01
0.0725        	-1.486812e-03	1.412125e+01	-1.277407e+00	-6.401902e-01	-6.372166e-01
